character_id,name,media,franchise,description,image_path,motif_id
1,Ahri,Game,League of Legends,"Ahri is a fox-like vastaya who became addicted to feeding on human spiritual essence, entranced by the emotions and memories she absorbed from her victims. She is defined by her supernatural allure and emotional manipulation, drawing power from those she charms while grappling with growing self-awareness and moral conflict over the harm she causes.",Ahri.png,5
2,Akura-ou,Anime,Kamisama Kiss,"Akura-ou is a powerful demon who possesses a human body, allowing him to return to the human world in search of his original form. He is characterized by his violent temperament, pride, and deep-seated resentment toward humans and gods, acting as a destructive force driven by vengeance.",Akura-ou.png,2
3,Aurelion Sol,Game,League of Legends,"Aurelion Sol is a primordial celestial being in League of Legends who takes the form of a colossal star-forging dragon, shaping suns and galaxies within the cosmos of Runeterra. He is defined by immense pride, arrogance, and a godlike disdain for mortals, viewing other beings as insignificant while resenting any force that dares to bind or control his power.",Aurelion Sol.png,3
4,Bai Wuxian,Donghua,"Heaven's Official Blessing","Bai Wuxiang, also known as the White-Clothed Calamity, is one of the Four Great Calamities and the most powerful Supreme Ghost, infamous for orchestrating the downfall of the Xianle kingdom. He is defined by cruelty, nihilism, and a fascination with human suffering, manipulating despair and belief to expose what he sees as the inherent hypocrisy and weakness of mortals and gods alike.",Bai Wuxiang.png,6
5,Baizhu,Game,Genshin Impact,"Dr. Baizhu is a master of medicinal arts in Genshin Impact who lives under a life-binding contract with a white snake, granting him extraordinary healing abilities as he seeks to overcome his frail mortality. He is characterized by calculated restraint, secrecy, and an obsessive pursuit of immortality, approaching life, death, and the human body with clinical detachment rather than moral idealism.",Baizhu.png,13
6,Clefairy,Game,Pokémon,"Clefairy is a bipedal, pink Fairy-type Pokémon known for gathering moonlight in its wings to float and dance under the night sky. It is defined by gentle mysticism and quiet otherworldliness, appearing innocent and playful while remaining elusive, nocturnal, and closely tied to lunar power rather than the human world.",Clefairy.png,4
7,Demonic Left Arm,Manhua,Grandmaster of Demonic Cultivation,"The Demonic Left Arm is a severed limb saturated with immense resentful energy, responsible for a series of deaths as it seeks a compatible body to inhabit. It is defined by its autonomous malice and fixation on reattachment, acting as a lingering remnant of violent emotion that persists beyond death and animates the corpse-like remains it controls.",Demonic Left Arm.png,10
8,Evelynn,Game,League of Legends,"Evelynn is a sadistic demon who disguises herself as a human woman to lure victims before revealing her true form once they fall into her grasp. She is defined by predatory seduction and psychological torment, deriving pleasure and sustenance from inflicting pain as intimacy, desire, and suffering become inseparable.",Evelynn.png,2
9,Ghost-Head Spiders,Donghua,"The Scum Villain's Self-Saving System","The Ghost-Head Spiders are arachnid demons from the Demon Realm, distinguished by ghostly, skull-like markings on their heads that mimic the cries of infants to lure victims. They are defined by deception and ambush predation, using imitation and entrapment rather than strength to hunt, embodying a cold, instinct-driven cruelty.",Ghost Head Spiders.png,9
10,Goshinki,Anime,Inuyasha,"Goshinki is a horned troll-like demon created solely to destroy Inuyasha’s sword, wielding the rare ability to read his opponent’s mind in battle. He is defined by brute strength, predatory cunning, and a single-minded purpose, using psychological insight not for wisdom but to amplify violence and domination.",Goshinki.png,14
11,He Xuan,Donghua,"Heaven's Official Blessing","He Xuan, also known as the Ship-Sinking Black Water, is one of the Four Great Calamities and a Supreme Ghost who devoured countless ghosts to absorb their power, ruling a vast sea domain and commanding a giant skeletal fish. He is defined by cold patience, calculated vengeance, and emotional restraint, masking immense destructive capability beneath silence and deliberate control.",He Xuan.png,6
12,Heavenly Maiden,Manhua,Grandmaster of Demonic Cultivation,"The Heavenly Maiden is a goddess worshipped in a mountain temple, appearing as a graceful dancing woman while devouring souls and destroying human bodies, immune to most spiritual weapons. She is defined by deceptive divinity and predatory consumption, sustaining her power through worship and sacrifice while masking monstrosity beneath beauty and ritual.",Heavenly Maiden.png,8
13,Hecarim,Game,League of Legends,"Hecarim is a vengeful ghost warrior, a cursed fusion of man and steed bound to the Black Mist and condemned to eternally ride as the Shadow of War. He is defined by unrelenting bloodlust and violent obsession, embodying a wrathful ghost driven solely by the thrill of slaughter and the echo of battles long past.",Hecarim.png,6
14,Hua Cheng,Donghua,"Heaven's Official Blessing","Hua Cheng, also known as the Crimson Rain Sought Flower, is one of the Four Great Calamities and a Supreme Ghost, renowned for his unmatched shapeshifting abilities that even gods cannot perceive and for summoning blood rain. He is defined by unwavering devotion, calculated defiance of the heavens, and a commanding presence that blends elegance with ruthless power.",Hua Cheng.png,6
15,Ivern,Game,League of Legends,"Ivern was once a man who became a plant spirit after striking down the God-Willow, gaining an intimate understanding of the secrets and voices of the natural world. He is defined by gentle benevolence and childlike reverence for life, rejecting violence in favor of nurturing, protection, and harmony with nature.",Ivern.png,11
16,Kalista,Game,League of Legends,"Kalista is a vengeful ghost spirit in League of Legends who hunts deceivers and traitors, manifesting to those who swear pacts with her and claiming their souls to strike down the ones who betrayed them. She is defined by unwavering wrath and rigid devotion to retribution, binding vengeance to oath and sacrifice with no room for mercy or release.",Kalista.png,6
17,Kikyo,Anime,Inuyasha,"Kikyo is a resurrected ghost priestess, brought back by a sorceress after her death and bound to the human world by resentment over the spider demon whose deception led to her death. She is defined by lingering sorrow, bitterness, and spiritual rigidity, existing as an undead presence sustained by hatred and unfinished vengeance rather than life or peace.",Kikyo.png,6
18,Kurama,Anime,Naruto,"Kurama, the Nine-Tailed Fox, is one of the nine tailed beasts sealed within Naruto Uzumaki, long feared as a destructive fox spirit and exploited as a weapon of war. He is defined by immense chakra, a volatile temperament shaped by centuries of imprisonment, and a gradual development of trust and agency that transforms him from a hostile force into a deliberate ally.`",Kurama.png,5
19,Luo Binghe,Donghua,"The Scum Villain's Self-Saving System","Luo Binghe is a half-demon, half-human cultivator and the son of the former Demon Realm ruler, whose demon blood grants him extraordinary regenerative, healing, and manipulable powers. He is defined by emotional volatility, intense attachment, and a capacity for both devotion and cruelty, with his demonic nature amplifying desire, resentment, and possessiveness rather than raw malice.",Luo Binghe.png,2
20,Measuring Snake,Manhua,Grandmaster of Demonic Cultivation,"The Measuring Snake is a monstrous serpent with a thick, armored body whose scales are difficult to penetrate, preying on humans by devouring those shorter than itself. It is defined by brutal physical dominance and instinct-driven predation, judging and consuming victims through a simple, inhuman measure rather than intention or emotion.",Measuring Snake.png,13
21,Mistress Centipede,Anime,Inuyasha,"Mistress Centipede is an insect spirit who appears as a pale woman with long black hair and multiple arms, shedding her human skin to reveal a monstrous centipede lower body when she unleashes her power. She is defined by predatory hunger, violent transformation, and a fixation on consuming spiritual energy, using a deceptive human form to conceal an instinct-driven, devouring nature.",Mistress Centipede.png,9
22,Mizuki,Anime,Kamisama Kiss,"Mizuki is a divine snake spirit who can transform into a white snake, allowing him to slip through confined spaces while wielding water manipulation and commanding lesser snake servants. He is defined by cunning, possessiveness, and opportunistic loyalty, using transformation and subtle control rather than brute force to pursue his goals.",Mizuki.png,13
23,Naraku,Anime,Inuyasha,"Naraku is an insect demon, born when a dying bandit was consumed by yōkai, creating a being rooted in spider-like monstrosity and demonic corruption. He is defined by manipulation, deception, and continual bodily fragmentation, repeatedly shedding and reshaping himself to eliminate his remaining human weakness and strengthen his spider demon nature.",Naraku.png,9
24,Ninetales,Game,Pokémon,"Ninetales is a fox-like Fire-type Pokémon with nine tails and luminous golden fur, known for its supernatural abilities to manipulate flames, wisps, and illusionary effects. It is defined by elegance, cunning, and mystical intelligence, capable of hypnotizing those who provoke it while maintaining an aloof, otherworldly presence.",Ninetales.png,5
25,Ninmenka,Anime,Inuyasha,"Ninmenka is a plant-spirit demon tree that consumes human spiritual energy, devours souls, and bears them as grotesque, human-faced fruit. It is defined by deceptive allure and parasitic manipulation, capable of altering its size to entrap victims through illusion and emotional vulnerability rather than brute force.",Ninmenka.png,11
26,Nu Yuan Chan,Donghua,"The Scum Villain's Self-Saving System","Nu Yuan Chan is a leech-like insect demon in The Scum Villain’s Self-Saving System that moves through both water and land, appearing as a woman whose black hair strands are used to drown and devour cultivators. She is defined by extreme predation and consumption, uniquely desiring human flesh and spiritual energy while leaving behind only skin and bones.",Nu Yuan Chan.png,9
27,Okuninushi,Anime,Kamisama Kiss,"Okuninushi is the God of Wealth, known for his flamboyant presence, dramatic behavior, and constant pursuit of attention and admiration. He is defined by excess, vanity, and transactional generosity, embodying a form of divinity where prosperity, favor, and desire are tightly intertwined rather than morally elevated.",Okuninushi.png,8
28,Orochidayū,Anime,Inuyasha,"Orochidayū is a snake demon who sought to create a duplicate Shikon Jewel by harvesting human souls and forming alliances with other monsters. He is defined by cunning ambition and manipulative scheming, using disguise and deception to lure victims and advance his obsessive goal before being confronted and defeated.",Orochidayū.png,13
29,Praying Mantis Yokai,Anime,Inuyasha,"The Praying Mantis Yokai is a giant mantis demon that ambushes prey with blinding speed and razor-sharp limbs, attacking travelers and other demons alike. It is defined by predatory instinct and feral aggression, relying on swift strikes and overwhelming force rather than strategy or subtlety.",Praying Mantis Yokai.png,9
30,Qi Rong,Donghua,"Heaven's Official Blessing","Qi Rong, also known as the Night-Touring Green Lantern, is one of the Four Great Calamities and a wrath-level ghost nearing Supreme rank, notorious for wielding green ghost fire that incinerates victims and for commanding lesser ghosts. He is defined by volatile cruelty, manic aggression, and unchecked sadism, lashing out indiscriminately as a ghost driven by spite and excess rather than calculation or restraint.",Qi Rong.png,6
31,Ryūkotsusei,Anime,Inuyasha,"Ryūkotsusei is an immensely powerful dragon demon who once terrorized the Plains of Musashi until he was sealed away and later reawakened to challenge new foes. He is defined by overwhelming pride, relentless aggression, and near-invulnerability, viewing combat and dominance as his primary purpose while showing disdain for those he deems unworthy opponents.",Ryūkotsusei.png,3
32,Saimyōshō,Anime,Inuyasha,"Saimyōshō are demonic wasp insect spirits, bred and controlled to poison enemies, retrieve Jewel shards, and scout from the air with lethal efficiency. They are defined by mindless obedience, venomous lethality, and swarm-based predation, functioning as inhuman extensions of malice rather than individual agents with will or emotion.",Saimyosho.png,9
33,Seelie,Game,Genshin Impact,"Seelie are small, glowing fairy-like beings, remnants of an ancient race that now drift near treasures, puzzles, and places of significance. They are defined by gentle guidance and quiet melancholy, leading humans through curiosity rather than speech while remaining detached, transient, and only partially present in the mortal world.",Seelie.png,4
34,Shippo,Anime,Inuyasha,"Shippo is a young fox spirit who travels with Inuyasha and his friends, using his transformation and illusion abilities to assist the group despite his inexperience. He is defined by playful cunning, loyalty, and a tendency toward mischief, relying on wit, agility, and illusion rather than brute force to navigate danger.",Shippo.png,5
35,Skinner Demon,Donghua,"The Scum Villain's Self-Saving System","The Skinner Demon is a shape-shifting demon that appears as a veiled woman with an unpleasant voice, feeding on the spiritual energy of its victims’ skin and assuming their faces. It is defined by unsettling mimicry and bodily transposition, using stolen skins and identities to conceal its true nature and stalk prey through deceptive appearances.",Skinner Demon.png,12
36,Suijin,Anime,Inuyasha,"Suijin is a revered water goddess, dwelling within a sacred lake and wielding control over water, teleportation, and divine magic to enforce her will. She is defined by distant authority and conditional mercy, embodying a form of divinity that demands reverence and balance rather than compassion, dispensing protection or punishment according to transgression.",Suijin.png,8
37,The Undead,Manhua,Grandmaster of Demonic Cultivation,"The Undead are reanimated human corpses driven by concentrated resentful energy, lacking true sentience but capable of distinguishing friends from foes through the scent of blood. They are defined by relentless pursuit and instinctive violence, acting as hollow shells animated by emotion rather than consciousness rather than by reason or will.",The Undead.png,10
38,Thresh,Game,League of Legends,"Thresh is a restless demon of the Shadow Isles who traps the souls of the living within his lantern, condemning them to eternal torment and feeding on their suffering. He is defined by merciless cruelty and psychological manipulation, delighting in anguish and ensnaring victims through fear and dread rather than direct confrontation.",Thresh.png,2
39,Tian Chui,Donghua,"The Scum Villain's Self-Saving System","Tian Chui is an elder demon Giant from the Demon Realm, known for attacking Cang Qiong Mountain Sect alongside other powerful demons and wielding a poison-spiked sledgehammer. He is defined by overwhelming physical strength, toxic hostility, and relentless aggression, relying on brute force and poisonous defenses rather than strategy or restraint in combat.",Tian Chui.png,7
40,Tianlang-jun,Donghua,"The Scum Villain's Self-Saving System","Tianlang-jun is an ancient and infamous ruler of the Demon Realm, once renowned for elegance and exceptional talent before becoming cold and distant, his return threatening both the cultivation and mortal worlds. He is defined by charismatic cruelty and theatrical dominance, exercising authority through spectacle, fear, and manipulation rather than moral order or restraint.",Tianlang-jun.png,2
41,Tomoe,Anime,Kamisama Kiss,"Tomoe is a powerful fox spirit, taking the form of a strikingly beautiful man while serving as protector and reluctant guide to a shrine god. He is defined by sharp wit, emotional manipulation, and guarded pride, using charm, illusion, and calculated distance to conceal deep loyalty and devotion.",Tomoe.png,5
42,Trundle,Game,League of Legends,"Trundle is a hulking troll who seized kingship through brute strength and subversive cunning, wielding a massive True Ice club to freeze and crush his enemies. He is defined by cruelty, mockery, and instinctive dominance, reveling in suffering and power rather than honor, restraint, or leadership.",Trundle.png,14
43,Viego,Game,League of Legends,"Viego is the Ruined King, a vengeful spirit whose obsessive attempt to resurrect his lost queen unleashed the Black Mist and bound him eternally to death and ruin. He is defined by possessive fixation, emotional excess, and an inability to release grief, allowing love twisted into obsession to drive him toward soul-consuming vengeance against the living world.",Viego.png,6
44,Vulpix,Game,Pokémon,"Vulpix is a fox-like Fire-type Pokémon with six tails and reddish-brown fur, known for its intelligence and use of fire and wisps to evade or confuse enemies. It is defined by cunning and deception, often feigning injury to lure or distract opponents before escaping, relying on trickery rather than strength as the ",Vulpix.png,5
45,Water Ghost,Manhua,Grandmaster of Demonic Cultivation,"A Water Ghost is a drowned corpse reanimated by resentful energy, lingering in bodies of water, typically picky about where they reside and staying close to the place of its death. It is defined by corpse-like persistence and fixation, existing as a hollow remnant of the dead that clings to location and instinct rather than memory, emotion, or moral intent, an undead presence trapped between decay and motion.",Water Ghost.png,10
46,White Zetsu,Anime,Naruto,"White Zetsu is a parasitic being capable of flawlessly altering its appearance and chakra signature, creating completely indistinguishable replicas of other individuals. He is defined by identity theft and bodily mimicry, wearing stolen forms as disposable skins to infiltrate, deceive, and replace others without possessing a stable self of his own.",White Zetsu.png,12
47,Xiao,Game,Genshin Impact,"Xiao is a yaksha demon, one of the last surviving guardians tasked with protecting Liyue from lingering evil born of war and resentment. He is defined by isolation, karmic suffering, and restrained violence, enduring immense pain in silence as he fulfills his duty without seeking recognition or connection.",Xiao.png,2
48,Xie Lian,Donghua,"Heaven's Official Blessing","Xie Lian, His Royal Highness the Crown Prince, is a repeatedly ascended god known for his unwavering desire to save common people despite repeated falls from divinity. He is defined by endurance, humility, and quiet compassion, possessing immense spiritual resilience and immortality while willingly bearing pain, danger, and ridicule without resentment.",Xie Lian.png,8
49,Xuanwu of Slaughter,Manhua,Grandmaster of Demonic Cultivation,"The Xuanwu of Slaughter is a colossal turtle beast that dwells within a mountain cave, its coal-black head, golden eyes, and massive shell so large it is often mistaken for an islet. It is defined by overwhelming physical presence and instinct-driven violence, relying on sheer size and endurance rather than intelligence or intent, embodying a primordial force of destruction rather than conscious malice.",Xuanwu of Slaughter.png,1
